ID,SeriousDlqin2yrs
129460,0.35978129317214164
134018,0.12282620795139669
86523,0.12024691409033514
138466,0.06393535159129506
143905,0.05730670388535354
118893,0.9202001094692516
124587,0.057686442014769135
136337,0.5207507032970348
16700,0.17523889679876
57857,0.371111460448611
15734,0.11270957987138418
108865,0.15605322920514253
70643,0.15859620566544852
63937,0.16086054243296222
45630,0.722086252151271
134,0.1432475863200831
19051,0.08072278041489617
70017,0.11836328708136967
141425,0.11216762513150227
54428,0.19064703495280888
22909,0.5073850767158755
50665,0.6154089949183218
14452,0.121235171376684
25646,0.5119956303807254
7670,0.8512622177387121
58203,0.06503506612728828
34957,0.2068272332626785
12339,0.12233727555217319
57387,0.15306099441433577
135184,0.08662832522875434
67705,0.6334442991404369
88706,0.06526169769500283
50761,0.05294167257322397
128898,0.8230721306752422
141806,0.7972535126949459
26485,0.10842430018399124
35726,0.5881405560331116
7684,0.16006184194933282
110249,0.0779459006114303
93798,0.9174161000203482
15352,0.19098119164469657
124345,0.40217509874095236
114161,0.07618892506265007
134264,0.6393656356408726
25722,0.08285397148421128
80217,0.06034134772657608
39434,0.22951694380587512
148053,0.23159549739475183
36794,0.07237810555090805
36180,0.14889510035613257
111180,0.3272153043588776
109175,0.34020129452280456
89108,0.1172285026936231
102313,0.11460210081432627
1237,0.7729321307824988
115697,0.6188775171063317
117088,0.5646769997668107
32708,0.12296406017778462
56470,0.4570562137087044
32678,0.17477010535052806
7520,0.10140768862294985
19850,0.9186127936164522
59381,0.17261346845500672
72715,0.46508869827873345
120597,0.6695108435061661
64821,0.5356493563088016
85756,0.4338014319321516
87380,0.587818404752368
4468,0.5396120643078253
117685,0.12152663706224891
14303,0.3037010170421432
137190,0.11632759699833997
16530,0.23613192683855402
87639,0.17372500040141323
52576,0.16204641242693607
51230,0.5296506997031658
8197,0.5878284895568501
8926,0.09036042843137962
12082,0.1473759667781345
36469,0.20926692770847832
71537,0.5868803753204389
143473,0.23218404075177473
40512,0.4349265142651552
142333,0.1062733228859627
122859,0.17484260843747465
123494,0.9284429506314893
11783,0.14433750027263492
93815,0.36210063367513995
34965,0.26886623590210074
28589,0.42960021910169316
4382,0.2243414650030432
103120,0.14494844102559074
67853,0.05614638345406174
1341,0.12960974580021134
61792,0.10084406343105856
133333,0.12271834572575643
33457,0.1700678227503791
84785,0.2383625306599966
88130,0.09791349343227967
44198,0.11919542072382253
119157,0.08174667875050186
24998,0.10020691667315614
122763,0.429356221957678
121251,0.8004111479720922
78085,0.5743602115641804
5826,0.5938446937998971
10776,0.4805015376402148
149700,0.3271498724142493
41971,0.0764313643074738
45082,0.4614417828072333
99466,0.6377733202580715
105695,0.232754543768579
46531,0.059012432976211414
92571,0.1452303064089302
149280,0.7599016239045568
9307,0.0931073353892168
3832,0.8569254411633593
136229,0.41402687692137297
9749,0.20529093358812106
22416,0.19096861653183203
8923,0.33018135529115866
122317,0.11000582979434363
75316,0.14943743890540093
90063,0.14542203726299044
125217,0.09969059969926308
7152,0.3755257002378461
98829,0.07701178058930884
7731,0.21255513170431492
73791,0.5190740281929984
77593,0.1710227229501442
44064,0.06378025866240666
97789,0.0718723086747764
96776,0.09150900369393306
65178,0.7750356487784128
91449,0.23959202438170968
99847,0.6297913005158872
67431,0.46631349272852335
37950,0.22808366021458348
25116,0.14470937824274613
125291,0.4916339583387254
81884,0.11101164604492551
54800,0.5676886529867428
56112,0.4934029693869925
101235,0.06700520978022449
46574,0.20980410400675306
40808,0.3463412212354014
142283,0.15655183364664219
51874,0.0560836971924975
51128,0.8572609722369964
